,date,time,close
74,2019-01-10,01:14,74
75,2019-01-10,01:15,75
76,2019-01-10,01:16,76
77,2019-01-10,01:17,77
78,2019-01-10,01:18,78
79,2019-01-10,01:19,79
80,2019-01-10,01:20,80
81,2019-01-10,01:21,81
82,2019-01-10,01:22,82
83,2019-01-10,01:23,83
84,2019-01-10,01:24,84
85,2019-01-10,01:25,85
86,2019-01-10,01:26,86
87,2019-01-10,01:27,87
88,2019-01-10,01:28,88
89,2019-01-10,01:29,89
90,2019-01-10,01:30,90
91,2019-01-10,01:31,91
92,2019-01-10,01:32,92
93,2019-01-10,01:33,93
94,2019-01-10,01:34,94
95,2019-01-10,01:35,95
96,2019-01-10,01:36,96
97,2019-01-10,01:37,97
98,2019-01-10,01:38,98
99,2019-01-10,01:39,99
100,2019-01-10,01:40,100
101,2019-01-10,01:41,101
102,2019-01-10,01:42,102
103,2019-01-10,01:43,103
104,2019-01-10,01:44,104
105,2019-01-10,01:45,105
106,2019-01-10,01:46,106
107,2019-01-10,01:47,107
108,2019-01-10,01:48,108
109,2019-01-10,01:49,109
110,2019-01-10,01:50,110
111,2019-01-10,01:51,111
112,2019-01-10,01:52,112
113,2019-01-10,01:53,113
114,2019-01-10,01:54,114
115,2019-01-10,01:55,115
116,2019-01-10,01:56,116
117,2019-01-10,01:57,117
118,2019-01-10,01:58,118
119,2019-01-10,01:59,119
120,2019-01-10,02:00,120
121,2019-01-10,02:01,121
122,2019-01-10,02:02,122
123,2019-01-10,02:03,123
124,2019-01-10,02:04,124
125,2019-01-10,02:05,125
126,2019-01-10,02:06,126
127,2019-01-10,02:07,127
128,2019-01-10,02:08,128
129,2019-01-10,02:09,129
130,2019-01-10,02:10,130
131,2019-01-10,02:11,131
132,2019-01-10,02:12,132
133,2019-01-10,02:13,133
134,2019-01-10,02:14,134
135,2019-01-10,02:15,135
136,2019-01-10,02:16,136
137,2019-01-10,02:17,137
138,2019-01-10,02:18,138
139,2019-01-10,02:19,139
140,2019-01-10,02:20,140
141,2019-01-10,02:21,141
142,2019-01-10,02:22,142
143,2019-01-10,02:23,143
144,2019-01-10,02:24,144
145,2019-01-10,02:25,145
146,2019-01-10,02:26,146
147,2019-01-10,02:27,147
148,2019-01-10,02:28,148
149,2019-01-10,02:29,149
150,2019-01-10,02:30,150
151,2019-01-10,02:31,151
152,2019-01-10,02:32,152
153,2019-01-10,02:33,153
154,2019-01-10,02:34,154
155,2019-01-10,02:35,155
156,2019-01-10,02:36,156
157,2019-01-10,02:37,157
158,2019-01-10,02:38,158
159,2019-01-10,02:39,159
160,2019-01-10,02:40,160
161,2019-01-10,02:41,161
162,2019-01-10,02:42,162
163,2019-01-10,02:43,163
164,2019-01-10,02:44,164
165,2019-01-10,02:45,165
166,2019-01-10,02:46,166
167,2019-01-10,02:47,167
168,2019-01-10,02:48,168
169,2019-01-10,02:49,169
170,2019-01-10,02:50,170
171,2019-01-10,02:51,171
172,2019-01-10,02:52,172
173,2019-01-10,02:53,173
174,2019-01-10,02:54,174
175,2019-01-10,02:55,175
176,2019-01-10,02:56,176
177,2019-01-10,02:57,177
178,2019-01-10,02:58,178
179,2019-01-10,02:59,179
180,2019-01-10,03:00,180
181,2019-01-10,03:01,181
182,2019-01-10,03:02,182
183,2019-01-10,03:03,183
184,2019-01-10,03:04,184
185,2019-01-10,03:05,185
186,2019-01-10,03:06,186
187,2019-01-10,03:07,187
188,2019-01-10,03:08,188
189,2019-01-10,03:09,189
190,2019-01-10,03:10,190
191,2019-01-10,03:11,191
192,2019-01-10,03:12,192
193,2019-01-10,03:13,193
194,2019-01-10,03:14,194
195,2019-01-10,03:15,195
196,2019-01-10,03:16,196
197,2019-01-10,03:17,197
198,2019-01-10,03:18,198
199,2019-01-10,03:19,199
200,2019-01-10,03:20,200
201,2019-01-10,03:21,201
202,2019-01-10,03:22,202
203,2019-01-10,03:23,203
204,2019-01-10,03:24,204
205,2019-01-10,03:25,205
206,2019-01-10,03:26,206
207,2019-01-10,03:27,207
208,2019-01-10,03:28,208
209,2019-01-10,03:29,209
210,2019-01-10,04:15,210
211,2019-01-10,04:16,211
212,2019-01-10,04:17,212
213,2019-01-10,04:18,213
214,2019-01-10,04:19,214
215,2019-01-10,04:20,215
216,2019-01-10,04:21,216
217,2019-01-10,04:22,217
218,2019-01-10,04:23,218
219,2019-01-10,04:24,219
220,2019-01-10,04:25,220
221,2019-01-10,04:26,221
222,2019-01-10,04:27,222
223,2019-01-10,04:28,223
224,2019-01-10,04:29,224
225,2019-01-10,04:30,225
226,2019-01-10,04:31,226
227,2019-01-10,04:32,227
228,2019-01-10,04:33,228
229,2019-01-10,04:34,229
230,2019-01-10,04:35,230
231,2019-01-10,04:36,231
232,2019-01-10,04:37,232
233,2019-01-10,04:38,233
234,2019-01-10,04:39,234
235,2019-01-10,04:40,235
236,2019-01-10,04:41,236
237,2019-01-10,04:42,237
238,2019-01-10,04:43,238
239,2019-01-10,04:44,239
240,2019-01-10,04:45,240
241,2019-01-10,04:46,241
242,2019-01-10,04:47,242
243,2019-01-10,04:48,243
244,2019-01-10,04:49,244
245,2019-01-10,04:50,245
246,2019-01-10,04:51,246
247,2019-01-10,04:52,247
248,2019-01-10,04:53,248
249,2019-01-10,04:54,249
250,2019-01-10,04:55,250
251,2019-01-10,04:56,251
252,2019-01-10,04:57,252
253,2019-01-10,04:58,253
254,2019-01-10,04:59,254
255,2019-01-10,05:00,255
